Země,Voliči v seznamu,Vydané obálky,Platné hlasy,Občanská demokratická strana,Řád národa - Vlastenecká unie,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Česká str.sociálně demokrat.,Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Komunistická str.Čech a Moravy,Strana zelených,"ROZUMNÍ-stop migraci,diktát.EU",Strana svobodných občanů,Blok proti islam.-Obran.domova,Občanská demokratická aliance,Česká pirátská strana,Unie H.A.V.E.L.,Referendum o Evropské unii,TOP 09,ANO 2011,Dobrá volba 2016,SPR-Republ.str.Čsl. M.Sládka,Křesť.demokr.unie-Čs.str.lid.,Česká strana národně sociální,REALISTÉ,SPORTOVCI,Dělnic.str.sociální spravedl.,Svob.a př.dem.-T.Okamura (SPD),Strana Práv Občanů
Makedonie,39,36,36,1,0,0,1,0,1,4,3,0,0,0,0,4,0,0,6,12,0,0,0,0,0,0,0,4,0
Moldavsko,14,13,13,2,0,0,2,0,1,0,0,0,0,1,0,1,0,0,1,3,0,0,2,0,0,0,0,0,0
Německo,541,477,473,39,0,0,18,0,44,5,57,0,4,0,0,114,1,0,132,18,0,0,28,0,3,0,0,10,0
Nizozemsko,111,88,88,12,0,1,1,0,11,0,11,1,0,0,0,12,0,0,22,1,0,0,13,0,0,0,0,3,0
Norsko,223,181,181,17,0,1,1,0,13,3,16,0,1,0,0,47,0,0,44,7,0,0,15,0,3,0,0,12,1
Polsko,423,359,359,41,0,0,12,0,19,5,26,0,5,0,0,57,0,0,96,32,0,0,40,0,1,0,0,24,1
Portugalsko,405,332,331,37,0,1,3,0,20,1,20,1,9,0,0,83,0,0,119,15,0,0,16,0,0,0,0,6,0
Rakousko,184,143,143,17,0,0,5,0,7,1,22,0,2,0,0,32,0,0,33,10,0,0,10,0,1,0,0,3,0
Republika Kosovo,152,137,135,15,0,0,9,0,12,1,5,1,4,0,0,28,0,0,30,11,0,0,15,0,2,0,0,2,0
Rumunsko,179,162,162,27,0,0,5,0,6,1,6,0,7,0,0,35,0,1,37,19,0,0,13,0,0,1,0,4,0
Rusko,511,421,417,54,1,1,19,0,35,1,26,0,7,0,0,63,0,0,103,35,0,0,52,0,6,0,0,13,1
Řecko,24,22,22,3,0,0,2,0,1,0,1,0,0,0,0,4,0,0,1,3,0,0,3,0,1,0,0,3,0
Slovensko,39,29,29,0,0,0,5,0,0,1,4,0,0,0,0,3,0,0,8,4,0,1,3,0,0,0,0,0,0
Slovinsko,8,6,6,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
Spojené království,183,117,116,11,0,0,4,0,8,5,2,0,1,0,0,12,0,0,26,23,1,0,14,0,4,0,0,5,0
Srbská republika,30,30,30,7,1,0,2,0,2,1,0,0,1,0,0,3,0,0,3,3,0,0,3,0,0,0,0,4,0
Svatý stolec,89,82,82,11,0,0,5,0,5,0,2,0,3,0,0,22,0,0,13,8,0,0,8,0,1,0,0,4,0
Španělsko,790,421,419,75,0,1,17,0,22,16,14,0,6,0,0,62,0,0,77,64,0,0,35,0,4,0,0,25,1
Švédsko,97,91,91,10,0,0,2,0,7,1,5,0,2,0,0,26,0,0,27,5,0,0,2,0,0,0,0,3,1
Švýcarsko,1 451,1 058,1 056,116,0,0,37,0,64,7,96,1,19,0,0,256,0,0,310,65,0,0,48,0,4,0,0,32,1
Ukrajina,104,57,57,8,0,0,4,0,3,1,3,0,1,0,0,8,0,0,10,11,0,0,4,0,1,0,0,3,0
Afghánistán,25,25,25,5,0,0,2,0,2,0,0,0,0,0,0,3,0,0,8,0,0,0,5,0,0,0,0,0,0
Arménská republika,183,144,144,24,0,0,2,0,9,0,22,1,2,0,0,27,0,0,41,3,0,0,5,0,1,0,0,7,0
Ázerbájdžán,227,165,165,9,0,0,1,0,11,0,17,0,0,0,0,44,0,0,52,9,0,0,10,0,2,0,0,10,0
Čína,484,331,331,38,0,0,15,0,29,1,16,0,5,0,0,68,0,0,89,24,0,0,25,2,3,0,0,16,0
Filipíny,69,52,52,8,0,0,3,0,1,0,4,0,1,0,0,11,0,0,16,4,0,0,3,0,0,0,0,0,1
Gruzie,29,29,29,2,0,0,5,0,3,3,0,0,0,0,0,4,0,0,5,2,0,0,3,0,0,0,0,2,0
Indie,68,68,68,8,0,0,10,0,5,0,0,0,4,0,0,4,0,0,5,17,0,0,3,0,2,0,0,10,0
Indonésie,30,25,25,1,0,0,2,0,1,1,1,0,2,0,0,2,0,0,2,8,0,0,1,0,0,0,0,3,1
